"date_time","building_code","info_status","consumption",
10/16/2012 09:12:53 PM,ELL,Reliable,20692,
10/16/2012 09:09:53 PM,ELL,Reliable,20690,
10/16/2012 09:07:53 PM,ELL,Reliable,20688,
10/16/2012 09:05:53 PM,ELL,Reliable,20686,
10/16/2012 09:02:53 PM,ELL,Reliable,20684,
10/16/2012 09:02:07 PM,ELEC,Reliable,7684,
10/16/2012 09:00:53 PM,ELL,Reliable,20682,
10/16/2012 09:00:00 PM,SEM,Reliable,2420,
10/16/2012 09:00:00 PM,SEM,Reliable,13630,
10/16/2012 09:00:00 PM,CRO,Reliable,14020,
10/16/2012 09:00:00 PM,EAT,Reliable,13854,
10/16/2012 09:00:00 PM,CHI,Reliable,10640,
10/16/2012 09:00:00 PM,UNH,Reliable,25080,
10/16/2012 09:00:00 PM,RHO,Reliable,1384,
10/16/2012 09:00:00 PM,SUB,Reliable,28050,
10/16/2012 09:00:00 PM,BAC,Reliable,9130,
10/16/2012 09:00:00 PM,ELEC,Reliable,32782,
10/16/2012 09:00:00 PM,WHE,Reliable,34336,
10/16/2012 09:00:00 PM,MAN,Reliable,1480,
10/16/2012 09:00:00 PM,CUT,Reliable,16310,
10/16/2012 09:00:00 PM,RRG,Reliable,3886,
10/16/2012 09:00:00 PM,DEN,Reliable,11815,
10/16/2012 09:00:00 PM,HOR,Reliable,2533,
10/16/2012 09:00:00 PM,VML,Reliable,19748,
10/16/2012 09:00:00 PM,VML,Reliable,11254,
10/16/2012 09:00:00 PM,WMH,Reliable,10485,
10/16/2012 09:00:00 PM,WIL,Reliable,1522,
10/16/2012 09:00:00 PM,CAR,Reliable,4868,
10/16/2012 09:00:00 PM,HSH,Reliable,99180,
10/16/2012 09:00:00 PM,EMM,Reliable,482,
10/16/2012 08:58:53 PM,ELL,Reliable,20680,
10/16/2012 08:56:53 PM,ELL,Reliable,20678,
10/16/2012 08:53:53 PM,ELL,Reliable,20676,
10/16/2012 08:51:53 PM,ELL,Reliable,20674,
10/16/2012 08:51:07 PM,ELEC,Reliable,7680,
10/16/2012 08:49:53 PM,ELL,Reliable,20672,
10/16/2012 08:46:53 PM,ELL,Reliable,20670,
10/16/2012 08:44:53 PM,ELL,Reliable,20668,
10/16/2012 08:42:53 PM,ELL,Reliable,20666,
10/16/2012 08:40:53 PM,ELL,Reliable,20664,
10/16/2012 08:40:07 PM,ELEC,Reliable,7676,
10/16/2012 08:37:53 PM,ELL,Reliable,20662,
10/16/2012 08:35:53 PM,ELL,Reliable,20660,
10/16/2012 08:33:53 PM,ELL,Reliable,20658,
10/16/2012 08:31:53 PM,ELL,Reliable,20656,
10/16/2012 08:30:00 PM,SEM,Reliable,2414,
10/16/2012 08:30:00 PM,SEM,Reliable,13612,
10/16/2012 08:30:00 PM,CRO,Reliable,13996,
10/16/2012 08:30:00 PM,EAT,Reliable,13830,
10/16/2012 08:30:00 PM,CHI,Reliable,10620,
10/16/2012 08:30:00 PM,UNH,Reliable,25044,
10/16/2012 08:30:00 PM,RHO,Reliable,1382,
10/16/2012 08:30:00 PM,SUB,Reliable,28014,
10/16/2012 08:30:00 PM,BAC,Reliable,9114,
10/16/2012 08:30:00 PM,ELEC,Reliable,32720,
10/16/2012 08:30:00 PM,WHE,Reliable,34272,
10/16/2012 08:30:00 PM,MAN,Reliable,1478,
10/16/2012 08:30:00 PM,CUT,Reliable,16272,
10/16/2012 08:30:00 PM,RRG,Reliable,3880,
10/16/2012 08:30:00 PM,DEN,Reliable,11793,
10/16/2012 08:30:00 PM,HOR,Reliable,2527,
10/16/2012 08:30:00 PM,VML,Reliable,19696,
10/16/2012 08:30:00 PM,VML,Reliable,11230,
10/16/2012 08:30:00 PM,WMH,Reliable,10462,
10/16/2012 08:30:00 PM,WIL,Reliable,1520,
10/16/2012 08:30:00 PM,CAR,Reliable,4862,
10/16/2012 08:30:00 PM,HSH,Reliable,99000,
10/16/2012 08:30:00 PM,EMM,Reliable,481.5,
10/16/2012 08:29:07 PM,ELEC,Reliable,7672,
10/16/2012 08:28:53 PM,ELL,Reliable,20654,
10/16/2012 08:26:53 PM,ELL,Reliable,20652,
10/16/2012 08:24:53 PM,ELL,Reliable,20650,
10/16/2012 08:21:53 PM,ELL,Reliable,20648,
10/16/2012 08:19:53 PM,ELL,Reliable,20646,
10/16/2012 08:18:07 PM,ELEC,Reliable,7668,
10/16/2012 08:17:53 PM,ELL,Reliable,20644,
10/16/2012 08:14:53 PM,ELL,Reliable,20642,
10/16/2012 08:12:53 PM,ELL,Reliable,20640,
10/16/2012 08:10:53 PM,ELL,Reliable,20638,
10/16/2012 08:08:07 PM,ELEC,Reliable,7664,
10/16/2012 08:07:53 PM,ELL,Reliable,20636,
10/16/2012 08:05:53 PM,ELL,Reliable,20634,
10/16/2012 08:03:53 PM,ELL,Reliable,20632,
10/16/2012 08:01:53 PM,ELL,Reliable,20630,
10/16/2012 08:00:00 PM,SEM,Reliable,2408,
10/16/2012 08:00:00 PM,SEM,Reliable,13592,
10/16/2012 08:00:00 PM,CRO,Reliable,13970,
10/16/2012 08:00:00 PM,EAT,Reliable,13802,
10/16/2012 08:00:00 PM,CHI,Reliable,10598,
10/16/2012 08:00:00 PM,UNH,Reliable,25008,
10/16/2012 08:00:00 PM,RHO,Reliable,1380,
10/16/2012 08:00:00 PM,SUB,Reliable,27982,
10/16/2012 08:00:00 PM,BAC,Reliable,9098,
10/16/2012 08:00:00 PM,ELEC,Reliable,32658,
10/16/2012 08:00:00 PM,WHE,Reliable,34224,
10/16/2012 08:00:00 PM,MAN,Reliable,1476,
10/16/2012 08:00:00 PM,CUT,Reliable,16238,
10/16/2012 08:00:00 PM,RRG,Reliable,3874,
10/16/2012 08:00:00 PM,DEN,Reliable,11771,
10/16/2012 08:00:00 PM,HOR,Reliable,2523,
10/16/2012 08:00:00 PM,VML,Reliable,19642,
10/16/2012 08:00:00 PM,VML,Reliable,11206,
10/16/2012 08:00:00 PM,WMH,Reliable,10439,
10/16/2012 08:00:00 PM,WIL,Reliable,1518,
10/16/2012 08:00:00 PM,CAR,Reliable,4856,
10/16/2012 08:00:00 PM,HSH,Reliable,98820,
10/16/2012 08:00:00 PM,EMM,Reliable,481,
10/16/2012 07:58:53 PM,ELL,Reliable,20628,
10/16/2012 07:58:07 PM,ELEC,Reliable,7660,
10/16/2012 07:56:53 PM,ELL,Reliable,20626,
10/16/2012 07:54:53 PM,ELL,Reliable,20624,
10/16/2012 07:51:53 PM,ELL,Reliable,20622,
10/16/2012 07:49:53 PM,ELL,Reliable,20620,
10/16/2012 07:47:53 PM,ELL,Reliable,20618,
10/16/2012 07:47:07 PM,ELEC,Reliable,7656,
10/16/2012 07:44:53 PM,ELL,Reliable,20616,
10/16/2012 07:42:53 PM,ELL,Reliable,20614,
10/16/2012 07:40:53 PM,ELL,Reliable,20612,
10/16/2012 07:38:53 PM,ELL,Reliable,20610,
10/16/2012 07:36:53 PM,ELL,Reliable,20608,
10/16/2012 07:36:07 PM,ELEC,Reliable,7652,
10/16/2012 07:33:53 PM,ELL,Reliable,20606,
10/16/2012 07:31:53 PM,ELL,Reliable,20604,
10/16/2012 07:30:00 PM,SEM,Reliable,2401,
10/16/2012 07:30:00 PM,SEM,Reliable,13572,
10/16/2012 07:30:00 PM,CRO,Reliable,13942,
10/16/2012 07:30:00 PM,EAT,Reliable,13774,
10/16/2012 07:30:00 PM,CHI,Reliable,10578,
10/16/2012 07:30:00 PM,UNH,Reliable,24972,
10/16/2012 07:30:00 PM,RHO,Reliable,1376,
10/16/2012 07:30:00 PM,SUB,Reliable,27948,
10/16/2012 07:30:00 PM,BAC,Reliable,9082,
10/16/2012 07:30:00 PM,ELEC,Reliable,32602,
10/16/2012 07:30:00 PM,WHE,Reliable,34160,
10/16/2012 07:30:00 PM,MAN,Reliable,1472,
10/16/2012 07:30:00 PM,CUT,Reliable,16210,
